_ts|_fl|id|name|real_position|real_position_side|known_name|short_name|last_name|first_name|middle_name|team_id|preferred_foot|club|caps|goals|jersey_num|country|birth_date|position
0|+|80146|Jordan Ayew|Striker|Centre|Jordan Ayew|Jordan Ayew|Ayew|Jordan||1219||Marseille|13|5|13|Ghana|1991-09-11|Forward
0|+|39187|Jeremain Lens|Striker|Centre||Lens|Lens|Jeremain|Daud|366||Dynamo Kyiv|22|8|17|Netherlands|1987-11-24|Forward
0|+|26900|Peter Odemwingie|Second Striker|Left/Centre/Right||Odemwingie|Odemwingie|Peter|Osaze|1216||Stoke City|61|10|8|Nigeria|1981-07-15|Forward
0|+|26901|Kevin Mirallas|Winger|Left/Right||Mirallas|Mirallas|Kevin|Antonio Joel Gislain|360||Everton|44|9|11|Belgium|1987-10-05|Forward
0|+|102679|Diego Calvo|Winger|Left||Calvo|Calvo|Diego|Gerardo|838||Valerenga|10|1|20|Costa Rica|1991-03-25|Midfielder
0|+|26904|João Pereira|Full Back|Right|João Pereira|João Pereira|da Silva Pereira|João Pedro||359||Valencia CF|36|0|21|Portugal|1984-02-25|Defender
0|+|149785|Cédric Si Mohamed|Goalkeeper|Unknown||Mohamed|Mohamed|Cédric Si||1215||CS Constantine|1|0|1|Algeria|1985-01-09|Goalkeeper
0|+|39194|Jan Vertonghen|Full Back|Left/Centre||Vertonghen|Vertonghen|Jan||360||Tottenham Hotspur|56|4|5|Belgium|1987-04-24|Defender
0|+|102683|Yeltsin Tejeda|Defensive Midfielder|Centre|Yeltsin Tejeda|Yeltsin Tejeda|Tejeda Valverde|Yeltsin|Ignacio|838||Saprissa|22|0|17|Costa Rica|1992-03-17|Midfielder
0|+|78108|Sebastián Coates|Central Defender|Centre||Coates|Coates|Sebastián||837|Right|Nacional|15|1|19|Uruguay|1990-10-07|Defender
0|+|147744|Carlos Gruezo|Central Midfielder|Centre||Gruezo|Gruezo|Carlos|Armando|830|Right|VfB Stuttgart|3|0|23|Ecuador|1995-04-19|Midfielder
0|+|119507|Manabu Saito|Winger|Left/Centre||Saito|Saito|Manabu||1266||Yokohama F. Marinos|6|1|20|Japan|1990-04-04|Forward
0|+|39204|Jonathan de Guzmán|Attacking Midfielder|Centre||de Guzmán|de Guzmán|Jonathan|Alexander|366|Right|Swansea City|10|0|8|Netherlands|1987-09-13|Midfielder
0|+|100649|Bernard|Attacking Midfielder|Centre/Right|Bernard|Bernard|Anício Caldeira Duarte|Bernard||614||Shakhtar Donetsk|11|1|20|Brazil|1992-09-08|Midfielder
0|+|51498|Mehdi Mostefa|Defensive Midfielder|Centre||Mostefa|Mostefa|Mehdi||1215||Ajaccio|23|0|22|Algeria|1983-08-30|Midfielder
0|+|157996|Masato Morishige|Central Defender|Centre||Morishige|Morishige|Masato||1266||FC Tokyo|9|1|6|Japan|1987-05-21|Defender
0|+|39215|Michel Vorm|Goalkeeper|Unknown||Vorm|Vorm|Michel||366||Swansea City|14|0|22|Netherlands|1983-10-20|Goalkeeper
0|+|63793|Randall Brenes|Striker|Centre||Brenes|Brenes|Randall||838||C.S. Cartagines|40|8|14|Costa Rica|1983-08-13|Forward
0|+|51507|Laurent Koscielny|Central Defender|Centre||Koscielny|Koscielny|Laurent||368||Arsenal|17|0|21|France|1985-09-10|Defender
0|+|55605|Toby Alderweireld|Full Back|Centre/Right||Alderweireld|Alderweireld|Toby|Albertine Maurits|360||Atlético de Madrid|34|1|2|Belgium|1989-03-02|Defender
0|+|41270|David Luiz|Central Defender|Centre|David Luiz|David Luiz|Luiz Moreira Marinho|David||614||Paris Saint Germain|36|0|4|Brazil|1987-04-22|Defender
0|+|49464|Christian Stuani|Striker|Centre||Stuani|Stuani|Christian|Ricardo|837|Right|Espanyol|10|4|11|Uruguay|1986-10-12|Forward
0|+|78140|Stefan de Vrij|Central Defender|Centre||de Vrij|de Vrij|Stefan||366||Feyenoord|12|0|3|Netherlands|1992-02-05|Defender
0|+|61758|Miiko Albornoz|Full Back|Left||Albornoz|Albornoz|Miiko||831|Left|Malmö FF|2|1|3|Chile|1990-11-30|Defender
0|+|149828|Islam Slimani|Striker|Centre||Slimani|Slimani|Islam||1215||Sporting Lisbon|20|10|13|Algeria|1988-06-18|Forward
0|+|49478|Fatau Dauda|Goalkeeper|Unknown||Dauda|Dauda|Fatau|Fatawu|1219||Orlando Pirates|18|0|16|Ghana|1985-04-06|Goalkeeper
0|+|47431|Willian|Winger|Left/Centre/Right|Willian|Willian|Borges Da Silva|Willian||614||Chelsea|7|2|19|Brazil|1988-08-09|Midfielder
0|+|49480|Daniel Opare|Full Back|Right||Opare|Opare|Daniel|Tawiah|1219|Right|Standard Liège|16|0|4|Ghana|1990-10-18|Defender
0|+|17804|Juanfran|Full Back|Right|Juanfran|Juanfran|Torres Belén|Juan Francisco||118|Right|Atlético de Madrid|8|1|5|Spain|1985-01-09|Defender
0|+|47434|Kostas Mitroglou|Striker|Centre||Mitroglou|Mitroglou|Kostas||517||Fulham|32|8|9|Greece|1988-03-12|Forward
0|+|49483|Harrison Afful|Wing Back|Right||Afful|Afful|Harrison||1219||Esperance|41|0|23|Ghana|1986-07-24|Defender
0|+|49485|Kwadwo Asamoah|Central Midfielder|Left/Centre||Asamoah|Asamoah|Kwadwo||1219|Mostly Left|Juventus|62|4|20|Ghana|1988-12-09|Midfielder
0|+|37198|Masoud Shojaei|Attacking Midfielder|Left/Centre/Right||Shojaei|Shojaei|Masoud|Soleimani|1042|Right|Las Palmas|50|5|7|Iran|1984-06-09|Midfielder
0|+|47501|Didier Ya Konan|Second Striker|Left/Centre/Right||Ya Konan|Ya Konan|Didier||1221|Left|Hannover 96|25|7|13|Côte d'Ivoire|1984-05-22|Forward
0|+|131408|Andrey Semenov|Central Defender|Centre||Semenov|Semenov|Andrey|Sergeyevich|536||Terek Grozny|1|0|5|Russia|1989-03-24|Defender
0|+|12625|Jorge Guagua|Central Defender|Centre||Guagua|Guagua|Jorge|Daniel|830||Emelec|59|2|2|Ecuador|1981-09-28|Defender
0|+|55634|Thomas Müller|Striker|Centre/Right||Müller|Müller|Thomas||357|Right|FC Bayern München|49|17|13|Germany|1989-09-13|Forward
0|+|18771|Sejad Salihovic|Attacking Midfielder|Left/Centre/Right||Salihovic|Salihovic|Sejad||537|Left|1899 Hoffenheim|42|4|23|Bosnia and Herzegovina|1984-10-08|Midfielder
0|+|8533|Arjen Robben|Winger|Left/Right||Robben|Robben|Arjen||366|Left|FC Bayern München|75|23|11|Netherlands|1984-01-23|Midfielder
0|+|12631|Walter Ayoví|Full Back|Left|Walter Ayoví|Walter Ayoví|Ayoví|Walter|Orlando|830||Pachuca|90|8|10|Ecuador|1979-08-11|Defender
0|+|51940|David de Gea|Goalkeeper|Unknown||de Gea|de Gea|David||118|Right|Manchester United|1|0|12|Spain|1990-11-07|Goalkeeper
0|+|151883|José María Giménez|Central Defender|Centre/Right||Giménez|Giménez|José María||837||Atlético de Madrid|6|0|13|Uruguay|1995-01-20|Defender
0|+|12635|Édison Méndez|Defensive Midfielder|Centre||Méndez|Méndez|Édison||830||Unknown|110|18|8|Ecuador|1979-03-16|Midfielder
0|+|17466|Pierre Webó|Striker|Centre||Webó|Webó|Pierre|Achille|494|Right|Fenerbahce|55|19|15|Cameroon|1982-01-20|Forward
0|+|112991|Kenneth Omeruo|Central Defender|Centre/Right||Omeruo|Omeruo|Kenneth|Josiah|1216|Right|Chelsea|17|0|22|Nigeria|1993-10-17|Defender
0|+|10594|Joseph Yobo|Central Defender|Centre/Right||Yobo|Yobo|Joseph|Michael|1216||Fenerbahce|97|7|2|Nigeria|1980-09-06|Defender
0|+|49507|Efe Ambrose|Central Defender|Centre|Efe Ambrose|Efe Ambrose|Ambrose Emuobo|Efetobore|Eric|1216||Celtic|37|1|5|Nigeria|1988-10-18|Defender
0|+|41316|Benedikt Höwedes|Central Defender|Centre/Right||Höwedes|Höwedes|Benedikt||357|Right|FC Schalke 04|21|2|4|Germany|1988-02-29|Defender
0|+|33223|Asamoah Gyan|Striker|Centre||Gyan|Gyan|Asamoah||1219||Al Ain|78|39|3|Ghana|1985-11-22|Forward
0|+|82283|Juri Lodygin|Goalkeeper|Unknown||Lodygin|Lodygin|Juri||536||Zenit St Petersburg|3|0|12|Russia|1990-05-26|Goalkeeper
0|+|55661|Enzo Pérez|Attacking Midfielder|Centre/Right||Pérez|Pérez|Enzo||632|Right|Benfica|8|1|8|Argentina|1986-02-22|Midfielder
0|+|41328|César Azpilicueta|Full Back|Left/Right||Azpilicueta|Azpilicueta|César||118||Chelsea|6|0|22|Spain|1989-08-28|Defender
0|+|149879|Juwon Oshaniwa|Full Back|Left||Oshaniwa|Oshaniwa|Juwon||1216||Ashdod|10|0|13|Nigeria|1990-09-14|Defender
0|+|49529|Ehsan Hajsafi|Attacking Midfielder|Left||Hajsafi|Hajsafi|Ehsan||1042||Sepahan|60|3|3|Iran|1990-02-25|Midfielder
0|+|33148|Claudio Bravo|Goalkeeper|Unknown||Bravo|Bravo|Claudio||831|Right|Real Sociedad|79|0|1|Chile|1983-04-13|Goalkeeper
0|+|10625|Daniele De Rossi|Central Midfielder|Centre||De Rossi|De Rossi|Daniele||119|Right|Roma|95|15|16|Italy|1983-07-24|Midfielder
0|+|14402|Fernando Torres|Striker|Centre||Torres|Torres|Fernando||118|Right|Chelsea|107|37|9|Spain|1984-03-20|Forward
0|+|78506|David Myrie|Full Back|Right||Myrie|Myrie|David||838||Herediano|10|0|8|Costa Rica|1988-06-01|Defender
0|+|72072|Isaác Brizuela|Winger|Left/Right||Brizuela|Brizuela|Isaác||659||Toluca|7|0|17|Mexico|1990-08-28|Midfielder
0|+|53643|Marco Fabián|Attacking Midfielder|Left/Centre||Fabián|Fabián|Marco|Jhonfai|659||Cruz Azul|15|5|8|Mexico|1989-07-21|Midfielder
0|+|59788|James Holland|Central Midfielder|Centre||Holland|Holland|James||575|Left|FK Austria Wien|14|0|16|Australia|1989-05-15|Midfielder
0|+|53645|Hulk|Second Striker|Left/Right|Hulk|Hulk|Vieira de Souza|Givanildo||614|Left|Zenit St Petersburg|35|9|7|Brazil|1986-07-25|Forward
0|+|184718|Loïc Feudjou|Goalkeeper|Unknown||Feudjou|Feudjou|Loïc||494||Coton Sport Garoua|2|0|1|Cameroon|1992-04-14|Goalkeeper
0|+|184719|Cedric Djeugoue|Central Defender|Left/Centre/Right||Djeugoue|Djeugoue|Cedric||494||Coton Sport Garoua|3|0|4|Cameroon|1992-08-28|Defender
